machineName,prefix,additionalInfo
204746-3-H,LPH_LR,successful
204746-4-H,LH_PV,successful
204745-3-H,LPH_LR,successful
204744-3-T,LPH_LR,successful
204744-10-T,LH_PMP,successful
204739-3-T,,Computer: 204739-3-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204739-3-T\C$\Install\extract v2.5.zip'
204738-3-H,,Computer: 204738-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204738-3-H\C$\Install\extract v2.5.zip'
204738-3-T,LPH_LR,successful
204739-4-T,PV_LH,successful
204738-4-T,LH_PV,successful
204741-10-H,,Computer: 204741-10-H failed to download or is disconnected. Error: The network path was not found. : '\\204741-10-H\C$\Install\extract v2.5.zip'
204741-3-H,,Computer: 204741-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204741-3-H\C$\Install\extract v2.5.zip'
204736-3-T,,Computer: 204736-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204736-3-T\C$\Install\extract v2.5.zip'
204736-3-H,LR,successful
204736-4-T,,Computer: 204736-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204736-4-T\C$\Install\extract v2.5.zip'
204736-4-H,PV,successful
204735-3-H,,Computer: 204735-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204735-3-H\C$\Install\extract v2.5.zip'
204735-4-H,,Computer: 204735-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204735-4-H\C$\Install\extract v2.5.zip'
204733-10-T,,Computer: 204733-10-T failed to download or is disconnected. Error: The network path was not found. : '\\204733-10-T\C$\Install\extract v2.5.zip'
204731-1-T,,Computer: 204731-1-T failed to download or is disconnected. Error: The network path was not found. : '\\204731-1-T\C$\Install\extract v2.5.zip'
204732-4-H,PV,successful
204731-3-T,,Computer: 204731-3-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204731-3-T\C$\Install\extract v2.5.zip'
204733-3-T,,Computer: 204733-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204733-3-T\C$\Install\extract v2.5.zip'
204733-4-T,,Computer: 204733-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204733-4-T\C$\Install\extract v2.5.zip'
204732-3-H,LPH_LR,successful
204729-3-T,,Computer: 204729-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204729-3-T\C$\Install\extract v2.5.zip'
204730-4-H,PV_LH,successful
204730-3-H,LPH_LR,successful
204729-4-T,,Computer: 204729-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204729-4-T\C$\Install\extract v2.5.zip'
204731-4-T,,Computer: 204731-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204731-4-T\C$\Install\extract v2.5.zip'
